Census Tract,"CalEnviroScreen
4.0 Score","CalEnviroScreen
4.0 Percentile","CalEnviroScreen 4.0 
Percentile Range","Pollution Burden
Percentile","Population Characteristics
Percentile",Total Population,California County,Approximate Zip Code,Approximate Location,DAC category
6077003305,44.58,81.48,80-85%,55.18,91.73,4375,San Joaquin,95207,Stockton,CalEnviroScreen 4.0 Top 25%
6029002812,44.56,81.47,80-85%,58.44,89.11,5021,Kern ,93309,Old Stine,CalEnviroScreen 4.0 Top 25%
6037554404,44.55,81.45,80-85%,68.61,81.95,4206,Los Angeles,90706,Bellflower,CalEnviroScreen 4.0 Top 25%
6075023300,44.54,81.44,80-85%,68.29,82.14,3739,San Francisco,94124,San Francisco,CalEnviroScreen 4.0 Top 25%
6001401500,44.53,81.43,80-85%,78.78,74.39,2839,Alameda ,94608,Oakland,CalEnviroScreen 4.0 Top 25%
6071003506,44.51,81.42,80-85%,69.57,81.00,5535,San Bernardino,92376,Rialto,CalEnviroScreen 4.0 Top 25%
6037218600,44.49,81.40,80-85%,93.18,60.50,3148,Los Angeles,90016,Los Angeles,CalEnviroScreen 4.0 Top 25%
6031001402,44.47,81.39,80-85%,47.27,96.27,2168,Kings ,93212,Corcoran,CalEnviroScreen 4.0 Top 25%
6013368002,44.46,81.38,80-85%,80.04,73.20,3782,Contra Costa,94806,San Pablo,CalEnviroScreen 4.0 Top 25%
6071006201,44.43,81.37,80-85%,60.07,87.90,4435,San Bernardino,92404,San Bernardino,CalEnviroScreen 4.0 Top 25%
6037406702,44.43,81.35,80-85%,82.75,70.80,6375,Los Angeles,91790,West Covina,CalEnviroScreen 4.0 Top 25%
6065043401,44.41,81.34,80-85%,52.79,93.12,6883,Riverside ,92543,Hemet,CalEnviroScreen 4.0 Top 25%
6037201602,44.40,81.33,80-85%,82.76,70.73,2960,Los Angeles,90032,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037602402,44.39,81.32,80-85%,63.96,84.73,6869,Los Angeles,90250,Hawthorne,CalEnviroScreen 4.0 Top 25%
6037219020,44.37,81.30,80-85%,53.14,92.80,5411,Los Angeles,90018,Los Angeles,CalEnviroScreen 4.0 Top 25%
6107001302,44.35,81.29,80-85%,89.67,64.46,9219,Tulare ,93292,Visalia,CalEnviroScreen 4.0 Top 25%
6111002400,44.32,81.28,80-85%,90.02,63.86,2587,Ventura ,93001,San Buenaventura (Ventura),CalEnviroScreen 4.0 Top 25%
6071011700,44.32,81.27,80-85%,71.82,79.12,1660,San Bernardino,92307,Unincorporated San Bernardino County area,CalEnviroScreen 4.0 Top 25%
6037550202,44.31,81.25,80-85%,86.20,67.85,5710,Los Angeles,90650,Norwalk,CalEnviroScreen 4.0 Top 25%
6019002200,44.30,81.24,80-85%,55.59,90.92,3617,Fresno ,93728,Fresno,CalEnviroScreen 4.0 Top 25%
6037224700,44.29,81.23,80-85%,69.41,80.76,6238,Los Angeles,90007,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037406200,44.29,81.22,80-85%,86.73,67.12,5811,Los Angeles,91723,Covina,CalEnviroScreen 4.0 Top 25%
6067009318,44.29,81.20,80-85%,49.98,94.81,2480,Sacramento ,95828,Florin,CalEnviroScreen 4.0 Top 25%
6037701902,44.27,81.19,80-85%,81.34,71.66,4659,Los Angeles,90401,Santa Monica,CalEnviroScreen 4.0 Top 25%
6059074200,44.26,81.18,80-85%,81.92,71.08,9608,Orange ,92707,Santa Ana,CalEnviroScreen 4.0 Top 25%
6071002402,44.25,81.16,80-85%,66.17,83.02,8364,San Bernardino,92335,Unincorporated San Bernardino County area,CalEnviroScreen 4.0 Top 25%
6037236204,44.24,81.15,80-85%,51.31,93.89,3109,Los Angeles,90008,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037406411,44.23,81.14,80-85%,87.90,65.85,2002,Los Angeles,91791,West Covina,CalEnviroScreen 4.0 Top 25%
6037531701,44.22,81.13,80-85%,68.67,81.11,5375,Los Angeles,90022,East Los Angeles,CalEnviroScreen 4.0 Top 25%
6067006101,44.21,81.11,80-85%,68.15,81.45,4886,Sacramento ,95821,Arden-Arcade,CalEnviroScreen 4.0 Top 25%
6077004001,44.21,81.10,80-85%,88.04,65.68,2215,San Joaquin,95242,Unincorporated San Joaquin County area,CalEnviroScreen 4.0 Top 25%
6037206031,44.19,81.09,80-85%,99.59,44.94,4131,Los Angeles,90021,Los Angeles,CalEnviroScreen 4.0 Top 25%
